word, trans
ንጉስ, ngus
ተመኔ, tämäne
ጉርሒ, gurħi
ክጸልእ, kṣäl'
ላባን, laban
ብድድ, bdd
ኣይኰነን, 'aykʷänän
ንኣኻትኩም, n'aKatkum
ቐዳማይ, Qädamay
ነይረ, näyrä
ንሱ, nsu
ማርያም, maryam
ነገር, nägär
ራእይ, ra'y
ኔሩ, neru
ዘይፈልቶ, zäyfälto
ውቃበይ, wqabäy
ኢላ, 'ila
ገይዱ, gäydu
ዱር, dur
ተቐይሩ, täQäyru
ነገርዎ, nägärwo
ደኣ, dä'a
ግልጽ, glṣ
ደዪቡ, däyibu
ንዂሉ, nkʷilu
ነበረት, näbärät
ርሒቕኪ, rħiQki
ነቦኡ, näbo'u
ተሰናቢተ, täsänabitä
ደየበ, däyäbä
ሰትያ, sätya
ንሙሴን, nmusen
ገዝኤ, gäz'e
ነገስታት, nägästat
ክባኻየ, kbaKayä
ርሑቕ, rħuQ
ጸብሐ, ṣäbħä
ሰበይቱ, säbäytu
ኽፍሊ, Kfli
እዚኤን, 'zi'en
ዕላማ, ʕlama
ናይታ, nayta
ጸዊዑ, ṣäwiʕu
ኣይነበረን, 'aynäbärän
ቀዳሞት, qädamot
መዓስ, mäʕas
ወገን, wägän
ልቦም, lbom
ወይ’ውን, wäy’wn
ሰንበት, sänbät
ኣቦታት, 'abotat
ክትኣቱ, kt'atu
ስርዓት, srʕat
ሰብኣይ, säb'ay
ወከፍ, wäkäf
ገለ, gälä
እዞም, 'zom
ቃል, qal
ኤልያስ, 'elyas
ድፍዐይ, dfʕäy
ወላዲት, wäladit
ኣብቲ, 'abti
ኣእዳው, 'a'daw
ናባታቶም, nabatatom
ዓሳ, ʕasa
ነብሰይ, näbsäy
ብኣይ, b'ay
ረኣዩ, rä'ayu
ምድሪውን, mdriwn
ምስኣ, ms'a
ተፈጢሩ, täfäTiru
ዝበሉ, zbälu
ኣመሌ, 'amäle
ቆርጫጭ, qorČaČ
እብለኩም, 'bläkum
ኣቦታቶም, 'abotatom
ሰለስተ, sälästä
ተስፋ, täsfa
ዘስተውዓሉ, zästäwʕalu
ኪዳ, kida
ዘይጠዓምክን, zäyTäʕamkn
ክዉን, kwun
ሃዋርያት, hawaryat
ዝገበረ, zgäbärä
ምንባር, mnbar
ምእንቲ, m'nti
ጐይታየ, gʷäytayä
ቻው, čaw
ዝዓገሶ, zʕagäso
ዝተረፉ, ztäräfu
እሞ, 'mo
ዓባይ, ʕabay
ንኣብርሃም, n'abrham
ኣቤሴሎም, 'abeselom
ኣምላኽካ, 'amlaKka
ሰምዔ, sämʕe
በረኽቲ, bäräKti
እቲ, 'ti
ዚነብሩን, zinäbrun
ኣዒንቱ, 'aʕintu
እስራኤል, 'sra'el
ንልበይ, nlbäy
ለዋህ, läwah
ስምዒት, smʕit
ምርኻብ, mrKab
ሃገራ, hagära
ኔረሞ, nerämo
ተጠንቀቑ, täTänqäQu
ከዕልላ, käʕlla
ልበይ, lbäy
ረብሓና, räbħana
ዓቕመይ, ʕaQmäy
ምብራቕ, mbraQ
ዚኽእል, ziK'l
የልቦን, yälbon
ኣብነት, 'abnät
ደቂ, däqi
ጌርኩም, gerkum
ነቶም, nätom
ንፈርኦን, nfär'on
“ኣጆኺ, “'aǧoKi
ጓኖት, gʷanot
ኽልተ, Kltä
ምስናይ, msnay
እንትርፎ, 'ntrfo
ትብል, tbl
ሀበኒ, häbäni
ሰላሳን, sälasan
ምዕራፍ, mʕraf
ዘይኰነ, zäykʷänä
ዮኣብ, yo'ab
ናህሪ, nahri
ብዘይ, bzäy
ኣቢለ, 'abilä
ክፉእ, kfu'
ኣስፈሃ, 'asfäha
ምኽንያት, mKnyat
ሓሙሽተን, ħamuštän
ዘለኣለም, zälä'aläm
ቤትኤል, bet'el
መላእኽቲ, mäla'Kti
ዘለው, zäläw
ፈሪሳውያን, färisawyan
ልዕሊ, lʕli
ነገሰ, nägäsä
ወጺኡ, wäṣi'u
ሌዋውያን, lewawyan
ኩለንትነኣ, kuläntnä'a
